""	"a"	"NA"	"NA"	"NA"	"año"	"Primarias"
"1"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"ADMINISTRADORES DE CAMPANA"	"4500000"	"2005"	"No"
"2"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"BANCO SANTANDER CHILE"	"3578742883"	"2005"	"No"
"3"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"REPUBLICA DE CHILE SERVICIO ELECTORAL"	"297253678"	"2005"	"No"
"4"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"INMOBILIARIA MONTE ACONCAGUA SA"	"4e+06"	"2005"	"No"
"5"	"SEBASTIAN PIÑERA"	"RENOVACION NACIONAL"	"SEBASTIAN PIERA ECHENIQUE"	"18043435"	"2005"	"No"
"6"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"1e+08"	"2005"	"No"
"7"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"2083334"	"2005"	"No"
"8"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTES ANONIMOS MESDE SEPTIEMBRE"	"3811700"	"2005"	"No"
"9"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"503200958"	"2005"	"No"
"10"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"8051215"	"2005"	"No"
"11"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"9008333"	"2005"	"No"
"12"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTES ANONIMOS DEOCTUBRE"	"3095883"	"2005"	"No"
"13"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTES PUBLICOS OCTUBRE"	"16492623"	"2005"	"No"
"14"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"150721047"	"2005"	"No"
"15"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"2050303"	"2005"	"No"
"16"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"5e+08"	"2005"	"No"
"17"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"D Y R LTDA"	"3162000"	"2005"	"No"
"18"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"EDUARDO BAEZ FAUNDEZ"	"527000"	"2005"	"No"
"19"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"TRABAJOS VOLUNTARIOS"	"21304000"	"2005"	"No"
"20"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"PARTIDO SOCIALISTA DE CHILE"	"2.09e+08"	"2005"	"No"
"21"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"PARTIDO SOCIALISTA DE CHILE"	"71125878"	"2005"	"No"
"22"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"652126532"	"2005"	"No"
"23"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"6443010"	"2005"	"No"
"24"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTE PUBLICO NOVIEMBRE"	"84331376"	"2005"	"No"
"25"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTE PUBLICO DICIEMBRE"	"46366800"	"2005"	"No"
"26"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTES ANONIMOS NOVIEMBRE"	"182972091"	"2005"	"No"
"27"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTES ANONIMOS DICIEMBRE"	"49206904"	"2005"	"No"
"28"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"93304774"	"2005"	"No"
"29"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"BANCO DEL DESARROLLO"	"811751"	"2005"	"No"
"30"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"IMPORTADORA Y COMERCIALIZADORA D Y R LTDA"	"3567900"	"2005"	"No"
"31"	"MICHELLE BACHELET"	"PARTIDO SOCIALISTA DE CHILE"	"APORTE RESERVADO"	"1142255862"	"2005"	"No"
"32"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO DEL DESARROLLO"	"5667868"	"2005"	"No"
"33"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO DEL DESARROLLO"	"19022654"	"2005"	"No"
"34"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO MONEX"	"43804800"	"2005"	"No"
"35"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO MONEX"	"37832500"	"2005"	"No"
"36"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO DEL DESARROLLO"	"51166665"	"2005"	"No"
"37"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO DEL DESARROLLO"	"16265310"	"2005"	"No"
"38"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	"BANCO DEL DESARROLLO"	"10316467"	"2005"	"No"
"39"	"TOMAS HIRSCH"	"PARTIDO HUMANISTA"	NA	"10833500"	"2005"	"No"
"40"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO SECURITY"	"3e+08"	"2005"	"No"
"41"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO SECURITY"	"1e+08"	"2005"	"No"
"42"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO DE CREDITO E INVERSIONES"	"7209792"	"2005"	"No"
"43"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO DE CREDITO E INVERSIONES"	"3e+08"	"2005"	"No"
"44"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"VARIOS SEGUN LISTA ADJUNTA"	"54123000"	"2005"	"No"
"45"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO SECURITY"	"8040522"	"2005"	"No"
"46"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"BANCO SECURITY"	"3200093"	"2005"	"No"
"47"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	NA	"1419517573"	"2005"	"No"
"48"	"JOAQUIN LAVIN"	"UNION DEMOCRATA INDEPENDIENTE"	"VARIOS PROVEEDORES"	"153399849"	"2005"	"No"
"49"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"199997500"	"2009"	"No"
"50"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"299997500"	"2009"	"No"
"51"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"MICHEL BORIS CABELLO MUNOZ"	"550000"	"2009"	"No"
"52"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"PATRICIA PAZ ENCINA MORENO"	"5e+05"	"2009"	"No"
"53"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"VIRGINIA DEL CARMEN SALAZAR RAMIREZ"	"6e+05"	"2009"	"No"
"54"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"9724000"	"2009"	"No"
"55"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"2400030"	"2009"	"No"
"56"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"ERIKA ANDREA VALDIVIA CASTRO"	"5e+05"	"2009"	"No"
"57"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"FERNANDO JAVIER VAL TORIBIO"	"5e+05"	"2009"	"No"
"58"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"3e+08"	"2009"	"No"
"59"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"GONZALO MEHECH CASTELLON"	"5e+05"	"2009"	"No"
"60"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"PAULA DURAN ROUBILLARD"	"550000"	"2009"	"No"
"61"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"SERVEL"	"1183981925"	"2009"	"No"
"62"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"SERVEL"	"155752912"	"2009"	"No"
"63"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"APORTE ANONIMO"	"347807738"	"2009"	"No"
"64"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"3699975"	"2009"	"No"
"65"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"TRABAJO VOLUNTARIO"	"45740000"	"2009"	"No"
"66"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"EDUARDO FREI RUIZ TAGLE"	"399997500"	"2009"	"No"
"67"	"EDUARDO FREI"	"PARTIDO DEMOCRATA CRISTIANO"	"BANCO SANTANDER CHIL E"	"234828605"	"2009"	"No"
"68"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	NA	"107025443"	"2009"	"No"
"69"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"GABRIEL ANDRES ESPINOZA SILVA"	"6e+05"	"2009"	"No"
"70"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"HECTOR OBREQUE SANTIBANEZ"	"6e+05"	"2009"	"No"
"71"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"WASHINGTON HERNALDO PENA ARCOS"	"580000"	"2009"	"No"
"72"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"ISSA MURIEL CASTILLO VARGAS"	"9e+05"	"2009"	"No"
"73"	"JORGE ARRATE"	"PARTIDO COMUNISTA DE CHILE"	"NANCY EUGENIA MARIN MILLIE"	"9e+05"	"2009"	"No"
